name,year,director,budget,gross,profit,roi
your sister's sister,2011,lynn shelton,125000.0,3242802.0,3117802.0,2494.2416000000003
mr. popper's penguins,2011,mark waters,55000000.0,187361754.0,132361754.0,240.65773454545453
courageous,2011,alex kendrick,2000000.0,35185884.0,33185884.0,1659.2942
jin ling shi san chai,2011,yimou zhang,94000000.0,2855644.0,-91144356.0,-96.96208085106383
apollo 18,2011,gonzalo lópez-gallego,5000000.0,26236153.0,21236153.0,424.72306
anonymous,2011,roland emmerich,30000000.0,15395087.0,-14604913.0,-48.68304333333333
hop,2011,tim hill,63000000.0,183954145.0,120954145.0,191.99070634920633
atlas shrugged: part i,2011,paul johansson,20000000.0,4627375.0,-15372625.0,-76.863125
happy feet two,2011,george miller,135000000.0,159197038.0,24197038.0,17.92373185185185
the beaver,2011,jodie foster,21000000.0,7294800.0,-13705200.0,-65.26285714285714
rockstar,2011,imtiaz ali,10920000.0,11219667.0,299667.0,2.7442032967032968
"big mommas: like father, like son",2011,john whitesell,32000000.0,82686066.0,50686066.0,158.39395625
the dilemma,2011,ron howard,70000000.0,69721966.0,-278034.0,-0.39719142857142853
dolphin tale,2011,charles martin smith,37000000.0,95943453.0,58943453.0,159.30662972972974
the avengers,2012,joss whedon,220000000.0,1518815515.0,1298815515.0,590.3706886363636
django unchained,2012,quentin tarantino,100000000.0,426074373.0,326074373.0,326.07437300000004
the hobbit: an unexpected journey,2012,peter jackson,180000000.0,1017003568.0,837003568.0,465.00198222222224
the hunger games,2012,gary ross,78000000.0,694394724.0,616394724.0,790.2496461538462
the dark knight rises,2012,christopher nolan,250000000.0,1081142612.0,831142612.0,332.4570448
pitch perfect,2012,jason moore,17000000.0,115350426.0,98350426.0,578.5319176470588
this is 40,2012,judd apatow,35000000.0,88215156.0,53215156.0,152.04330285714286
the hunt,2012,thomas vinterberg,3800000.0,15843274.0,12043274.0,316.9282631578947
prometheus,2012,ridley scott,130000000.0,403354469.0,273354469.0,210.27266846153844
