id,title,year,director,rating,votes,metascore,budget,gross,profit,roi
817,en man som heter ove,2015,hannes holm,7.7,21569,70.0,,,,
818,dragonball evolution,2009,james wong,2.7,59512,45.0,30000000.0,55720772.0,25720772.0,85.73590666666666
819,red dawn,2012,dan bradley,5.4,64584,31.0,65000000.0,50950296.0,-14049704.0,-21.61492923076923
820,one day,2011,lone scherfig,7.0,113599,48.0,15000000.0,59389433.0,44389433.0,295.92955333333333
821,life as we know it,2010,greg berlanti,6.6,101301,39.0,38000000.0,105734416.0,67734416.0,178.24846315789472
822,28 weeks later,2007,juan carlos fresnadillo,7.0,221858,78.0,15000000.0,65048678.0,50048678.0,333.6578533333333
823,warm bodies,2013,jonathan levine,6.9,193579,59.0,35000000.0,116980662.0,81980662.0,234.23046285714287
824,blue jasmine,2013,woody allen,7.3,160592,78.0,18000000.0,99104804.0,81104804.0,450.5822444444444
825,g.i. joe: retaliation,2013,jon m. chu,5.8,152145,41.0,130000000.0,375740705.0,245740705.0,189.03131153846152
826,wrath of the titans,2012,jonathan liebesman,5.8,159230,37.0,150000000.0,301970083.0,151970083.0,101.31338866666664
