id,title,author,rating_average,movie_release_year,isbn,Unnamed: 0,rank,genre,description,director,actors,year,runtime (minutes),rating,votes,revenue (millions),metascore
290,me before you,jojo moyes,4.26,2016,978-0143124542,57,58,"drama,romance",a girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.,thea sharrock,"emilia clarke, sam claflin, janet mcteer, charles dance",2016,106,7.4,113322,56.23,51.0
292,the devil wears prada,lauren weisberger,3.75,2006,978-0767914765,297,298,"comedy,drama","a smart but sensible new graduate lands a job as an assistant to miranda priestly, the demanding editor-in-chief of a high fashion magazine.",david frankel,"anne hathaway, meryl streep, adrian grenier, emily blunt",2006,109,6.8,302268,124.73,62.0
304,shutter island,dennis lehane,4.1,2010,978-0062068415,138,139,"mystery,thriller","in 1954, a u.s. marshal investigates the disappearance of a murderess who escaped from a hospital for the criminally insane.",martin scorsese,"leonardo dicaprio, emily mortimer, mark ruffalo,ben kingsley",2010,138,8.1,855604,127.97,63.0
333,unbroken,laura hillenbrand,4.38,2014,978-1400064168,586,587,"biography,drama,sport","after a near-fatal plane crash in wwii, olympian louis zamperini spends a harrowing 47 days in a raft with two fellow crewmen before he's caught by the japanese navy and sent to a prisoner-of-war camp.",angelina jolie,"jack o'connell, miyavi, domhnall gleeson, garrett hedlund",2014,137,7.2,114006,115.6,59.0
336,perfume: the story of a murderer,patrick süskind,4.04,2006,978-0375725845,918,919,"crime,drama,fantasy","jean-baptiste grenouille, born with a superior olfactory sense, creates the world's finest perfume. his work, however, takes a dark turn as he searches for the ultimate scent.",tom tykwer,"ben whishaw, dustin hoffman, alan rickman,francesc albiol",2006,147,7.5,199387,2.21,56.0
339,half of a yellow sun,chimamanda ngozi adichie,4.33,2013,978-1400095209,519,520,"drama,romance","sisters olanna and kainene return home to 1960s nigeria, where they soon diverge on different paths. as civil war breaks out, political events loom larger than their differences as they join the fight to establish an independent republic.",biyi bandele,"chiwetel ejiofor, thandie newton, anika noni rose,joseph mawle",2013,111,6.2,1356,0.05,51.0
362,the jungle book,rudyard kipling,3.94,1967,978-1593081157,125,126,"adventure,drama,family","after a threat from the tiger shere khan forces him to flee the jungle, a man-cub named mowgli embarks on a journey of self discovery with the help of panther, bagheera, and free spirited bear, baloo.",jon favreau,"neel sethi, bill murray, ben kingsley, idris elba",2016,106,7.5,198243,364.0,77.0
405,beowulf,unknown,3.45,2007,978-0393320978,802,803,"animation,action,adventure","the warrior beowulf must fight and defeat the monster grendel who is terrorizing denmark, and later, grendel's mother, who begins killing out of revenge.",robert zemeckis,"ray winstone, crispin glover, angelina jolie,robin wright",2007,115,6.2,146566,82.16,59.0
430,true grit,charles portis,4.14,1969,978-1590204597,743,744,"adventure,drama,western",a tough u.s. marshal helps a stubborn teenager track down her father's murderer.,ethan coen,"jeff bridges, matt damon, hailee steinfeld,josh brolin",2010,110,7.6,254904,171.03,80.0
435,fantastic beasts and where to find them,j.k. rowling,3.98,2016,978-1338109061,10,11,"adventure,family,fantasy",the adventures of writer newt scamander in new york's secret community of witches and wizards seventy years before harry potter reads his book in school.,david yates,"eddie redmayne, katherine waterston, alison sudol,dan fogler",2016,133,7.5,232072,234.02,66.0
