id,title,rating,votes,metascore
525,trust,7.0,36043,60.0
526,birth of the dragon,3.9,552,61.0
528,the green inferno,5.4,26461,38.0
529,godzilla,6.4,318058,62.0
530,the bourne legacy,6.7,245374,61.0
531,a good year,6.9,74674,47.0
532,friend request,5.4,12758,59.0
534,lucy,6.4,352698,61.0
535,a quiet passion,7.2,1024,77.0
536,need for speed,6.5,143389,39.0
537,jack reacher,7.0,250811,50.0
538,the do-over,5.7,24761,22.0
539,true crimes,7.3,198,43.0
541,the ghost writer,7.2,137964,77.0
542,limitless,7.4,444417,59.0
543,spectral,6.3,27042,39.0
545,zipper,5.7,4912,39.0
546,midnight special,6.7,54787,76.0
547,don't think twice,6.8,10485,83.0
548,alice in wonderland,6.5,324898,53.0
549,chuck,6.8,391,68.0
550,"i, daniel blake",7.9,22941,77.0
551,the break-up,5.8,106381,45.0
552,loving,7.1,17141,79.0
553,fantastic four,4.3,121847,27.0
554,the survivalist,6.3,9187,80.0
555,colonia,7.1,30074,33.0
556,the boy next door,4.6,30180,30.0
557,the gift,7.1,96688,77.0
558,dracula untold,6.3,148504,40.0
559,in the heart of the sea,6.9,90372,47.0
560,idiocracy,6.6,115355,66.0
561,the expendables,6.5,283282,45.0
562,evil dead,6.5,133113,57.0
563,sinister,6.8,171169,53.0
564,wreck-it ralph,7.8,290559,72.0
565,snow white and the huntsman,6.1,239772,57.0
566,pan,5.8,47804,36.0
567,transformers: dark of the moon,6.3,338369,42.0
568,juno,7.5,432461,81.0
569,a hologram for the king,6.1,26521,58.0
570,money monster,6.5,68654,55.0
571,the other woman,6.0,110825,39.0
572,enchanted,7.1,150353,75.0
573,the intern,7.1,159582,51.0
574,little miss sunshine,7.8,374044,80.0
575,bleed for this,6.8,11900,62.0
576,clash of the titans,5.8,238206,39.0
577,the finest hours,6.8,44425,58.0
578,tron,6.8,273959,49.0
579,the hunger games: catching fire,7.6,525646,76.0
580,all good things,6.3,44158,57.0
581,kickboxer: vengeance,4.9,6809,37.0
582,the last airbender,4.2,125129,20.0
583,sex tape,5.1,89885,36.0
584,what to expect when you're expecting,5.7,60059,41.0
585,moneyball,7.6,297395,87.0
586,ghost rider,5.2,190673,35.0
587,unbroken,7.2,114006,59.0
588,immortals,6.0,142900,46.0
589,sunshine,7.3,199860,64.0
590,brave,7.2,293941,69.0
591,män som hatar kvinnor,7.8,182074,76.0
592,adoration,6.2,25208,37.0
593,the drop,7.1,116118,69.0
594,she's the man,6.4,122864,45.0
595,daddy's home,6.1,68306,42.0
596,let me in,7.2,97141,79.0
597,never back down,6.6,84083,39.0
598,grimsby,6.2,63408,44.0
599,moon,7.9,277123,67.0
600,megamind,7.3,183926,63.0
601,gangster squad,6.7,181432,40.0
602,blood father,6.4,40357,66.0
603,he's just not that into you,6.4,137684,47.0
604,kung fu panda 3,7.2,89791,66.0
605,the rise of the krays,5.1,1630,90.0
608,horrible bosses,6.9,368556,57.0
609,mommy,8.1,33560,74.0
610,hellboy ii: the golden army,7.0,216932,78.0
611,beautiful creatures,6.2,71822,52.0
612,toni erdmann,7.6,24387,93.0
613,the lovely bones,6.7,130702,42.0
614,the assassination of jesse james by the coward robert ford,7.5,143564,68.0
615,don jon,6.6,199973,66.0
616,bastille day,6.3,21089,48.0
617,2307: winter's dream,4.0,277,53.0
619,mr. right,6.3,30053,52.0
620,the secret life of walter mitty,7.3,249877,54.0
621,dope,7.3,66400,72.0
622,underworld awakening,6.4,127157,39.0
623,antichrist,6.6,94069,49.0
624,friday the 13th,5.6,78631,34.0
625,taken 3,6.0,144715,26.0
626,total recall,6.3,210965,43.0
627,x-men: the last stand,6.7,406540,58.0
628,the escort,6.0,7181,46.0
630,night at the museum: secret of the tomb,6.2,74886,47.0
631,love & other drugs,6.7,151519,55.0
632,the interview,6.6,261536,52.0
633,the host,7.0,73491,85.0
634,megan is missing,4.9,6683,94.0
636,knocked up,7.0,309398,85.0
637,source code,7.5,404884,74.0
638,lawless,7.3,195360,58.0
639,unfriended,5.6,50402,59.0
640,american reunion,6.7,178471,49.0
641,the pursuit of happyness,8.0,361105,64.0
642,relatos salvajes,8.1,110100,77.0
643,the ridiculous 6,4.8,31149,18.0
644,frantz,7.5,4304,73.0
645,viral,5.5,3564,72.0
647,burnt,6.6,76469,42.0
648,tall men,3.2,173,57.0
650,vampire academy,5.6,44111,30.0
651,sweeney todd: the demon barber of fleet street,7.4,296289,83.0
652,solace,6.4,36300,36.0
653,insidious,6.8,219916,52.0
654,popstar: never stop never stopping,6.7,30875,68.0
655,the levelling,6.4,482,82.0
656,public enemies,7.0,240323,70.0
657,boyhood,7.9,286722,100.0
658,teenage mutant ninja turtles,5.9,178527,31.0
659,eastern promises,7.7,198006,82.0
660,the daughter,6.7,2798,62.0
661,pineapple express,7.0,267872,64.0
662,the first time,6.9,54027,55.0
663,gone baby gone,7.7,206707,72.0
664,the heat,6.6,140151,60.0
665,l'avenir,7.1,5796,88.0
666,anna karenina,6.6,75291,63.0
667,regression,5.7,26320,32.0
668,ted 2,6.3,136323,48.0
669,pain & gain,6.5,168875,45.0
670,blood diamond,8.0,422014,64.0
671,devil's knot,6.1,15514,42.0
672,child 44,6.5,47703,41.0
673,the hurt locker,7.6,352023,94.0
674,green lantern,5.6,231907,39.0
675,war on everyone,5.9,9285,50.0
676,the mist,7.2,233346,58.0
677,escape plan,6.7,188004,49.0
678,"love, rosie",7.2,80415,44.0
679,the duff,6.5,57874,56.0
680,the age of shadows,7.2,2403,78.0
681,the hunger games: mockingjay - part 1,6.7,331902,64.0
682,we need to talk about kevin,7.5,104953,68.0
683,love & friendship,6.5,16164,87.0
684,the mortal instruments: city of bones,5.9,112313,33.0
685,seven pounds,7.7,245144,36.0
686,the king's speech,8.0,534388,88.0
687,hunger,7.6,54486,82.0
688,jumper,6.1,252503,35.0
689,toy story 3,8.3,586669,92.0
690,tinker tailor soldier spy,7.1,157053,85.0
691,resident evil: retribution,5.4,114144,39.0
692,dear zindagi,7.8,23540,56.0
694,pompeii,5.5,90188,39.0
695,life of pi,7.9,471109,79.0
696,hachi: a dog's tale,8.1,177602,61.0
698,i origins,7.3,86271,57.0
699,live free or die hard,7.2,347567,69.0
700,the matchbreaker,5.5,1427,44.0
702,ted,7.0,494641,62.0
703,red,7.1,250012,60.0
704,australia,6.6,106115,53.0
705,faster,6.5,83788,44.0
706,the neighbor,5.8,4754,60.0
708,the hollars,6.5,5908,53.0
709,the judge,7.4,146812,48.0
710,closed circuit,6.2,18437,50.0
711,transformers: revenge of the fallen,6.0,335757,35.0
712,la tortue rouge,7.6,11482,86.0
713,the book of life,7.3,50388,67.0
714,incendies,8.2,92863,80.0
715,the heartbreak kid,5.8,74664,46.0
716,happy feet,6.5,141141,77.0
717,entourage,6.6,64557,38.0
718,the strangers,6.2,96718,47.0
719,noah,5.8,209700,68.0
720,neighbors,6.4,236500,68.0
721,nymphomaniac: vol. ii,6.7,65824,60.0
722,wild,7.1,95553,76.0
723,grown ups,6.0,190385,30.0
724,blair witch,5.1,26088,47.0
725,the karate kid,6.2,127983,61.0
726,dark shadows,6.2,209326,55.0
727,friends with benefits,6.6,286543,63.0
728,the illusionist,7.6,309934,68.0
729,the a-team,6.8,219116,47.0
730,the guest,6.7,71069,76.0
731,the internship,6.3,166342,42.0
732,paul,7.0,201707,57.0
733,this beautiful fantastic,6.9,688,51.0
734,the da vinci code,6.6,338280,46.0
735,mr. church,7.7,16163,37.0
736,hugo,7.5,259182,83.0
737,the blackcoat's daughter,5.6,4155,68.0
738,body of lies,7.1,182305,57.0
