title,rating,votes,revenue (millions),metascore
the longest ride,7.1,58421,37.43,33.0
the imposible,7.6,156189,19.0,73.0
kick-ass 2,6.6,214825,28.75,41.0
oz the great and powerful,6.3,181521,234.9,44.0
brooklyn,7.5,94977,38.32,87.0
coraline,7.7,156620,75.28,80.0
blue valentine,7.4,151409,9.7,81.0
dredd,7.1,213764,13.4,59.0
hunt for the wilderpeople,7.9,52331,5.2,81.0
big hero 6,7.8,309186,222.49,74.0
carrie,5.9,113272,35.27,53.0
iron man 2,7.0,556666,312.06,57.0
demolition,7.0,58720,1.82,49.0
pandorum,6.8,126656,10.33,28.0
olympus has fallen,6.5,214994,98.9,41.0
i am number four,6.1,202682,55.09,36.0
jagten,8.3,192263,0.61,76.0
the proposal,6.7,241709,163.95,48.0
get hard,6.0,95119,90.35,34.0
just go with it,6.4,182069,103.03,33.0
revolutionary road,7.3,159736,22.88,69.0
the town,7.6,294553,92.17,74.0
the boy,6.0,51235,35.79,42.0
denial,6.6,8229,4.07,63.0
goosebumps,6.3,57602,80.02,60.0
sherlock holmes: a game of shadows,7.5,357436,186.83,48.0
salt,6.4,255813,118.31,65.0
enemy,6.9,111558,1.01,61.0
district 9,8.0,556794,115.65,81.0
the other guys,6.7,199900,119.22,64.0
american gangster,7.8,337835,130.13,76.0
marie antoinette,6.4,83941,15.96,65.0
2012,5.8,297984,166.11,49.0
harry potter and the half-blood prince,7.5,351059,301.96,78.0
argo,7.7,481274,136.02,86.0
eddie the eagle,7.4,56332,15.79,54.0
the lives of others,8.5,278103,11.28,89.0
forgetting sarah marshall,7.2,226619,62.88,67.0
the giver,6.5,93799,45.09,47.0
triple 9,6.3,48400,12.63,52.0
moonrise kingdom,7.8,254446,45.51,84.0
hairspray,6.7,102954,118.82,81.0
safe haven,6.7,84765,71.35,34.0
focus,6.6,166489,53.85,56.0
ratatouille,8.0,504039,206.44,96.0
stake land,6.5,36091,0.02,66.0
the book of eli,6.9,241359,94.82,53.0
cloverfield,7.0,313803,80.03,64.0
point break,5.3,44553,28.77,34.0
under the skin,6.3,94707,2.61,78.0
